species,common_name,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche
Turdus migratorius,American Robin,78.5,1542,miân,miân,Thrushes,0,1,1,5,0.57190292,0.29712384199999997,-0.081507665,-0.020992295,0.132172423,-0.042929984000000004,-0.026778297000000003,-0.09963104199999999,-0.050886939000000006,0.058571946,-0.14584967199999999,-0.036950181,0.00029487700000000003,Nearctic,Omnivore,Invertivore,Invertivore ground
Trogon elegans,Elegant Trogon,70.89,284,chòo-dzê,chòo-dzê,Trogons and Quetzals,0,1,1,2,0.593984926,-0.11919857800000001,-0.854372455,0.051877705,-0.595112191,-0.313906338,0.04071372,-0.026478942999999998,0.013472223,0.430574587,-0.556204767,0.080614225,0.029335953999999997,Nearctic,Omnivore,Omnivore,
Poecile sclateri,Mexican Chickadee,10.09,1172,mguîn̲-pàyâs,mguîn̲-pàyâs,"Tits, Chickadees, and Titmice",0,2,2,2,-2.025787199,0.238728485,-0.350927728,-0.062910776,0.132980165,0.070106331,-0.160737468,0.020596584,-0.045727448,-1.128930655,-0.211657559,-0.155379796,0.095004552,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Cardellina rubrifrons,Red-faced Warbler,8.1,577,wǐt,wǐt,Wood-Warblers,0,12,11,15,-2.172638971,0.078161386,-0.47956631,-0.040328031,0.15674063900000001,0.03614712,-0.103533014,-0.051677014,0.028077809,-1.031251578,-0.269594321,-0.100773871,0.042548521,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Pipilo ocai,Collared Towhee,60.95,1116,chùubây,chùubây,New World Sparrows,0,1,1,10,0.243814246,0.203460749,-0.26502772,0.19655144600000002,0.228020313,-0.346271171,-0.056680775999999995,-0.028756597999999998,-0.042221192000000005,0.054546972,-0.37251638600000003,-0.096636686,-0.006742785,Neotropic,Omnivore,Omnivore,
Trogon mexicanus,Mountain Trogon,71.0,1561,mèr-dán,mèr-dán,Trogons and Quetzals,0,1,1,2,0.650137199,-0.032289824,-1.029696033,0.003454488,-0.651610593,-0.252636734,0.10701917400000001,-0.032803281000000004,0.01296739,0.39334167299999995,-0.660959421,0.157404422,0.032895692000000004,Neotropic,Carnivore,Invertivore,Invertivore sally surface
Vireo plumbeus,Plumbeous Vireo,16.4,683,mtsùu,mtsùu,Vireos,0,8,8,4,-1.4377058740000002,0.124408868,-0.19906811,0.060958375999999995,0.083828002,0.00644808,-0.08751845,-0.021628038999999998,0.081060676,-0.738033139,-0.186472728,-0.09472833800000001,-0.047615264000000004,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Quiscalus mexicanus,Great-tailed Grackle,160.47,6954,mguîn̲-bǒo,mguîn̲-bǒo,Blackbirds,0,1,1,3,2.093915155,-0.361156621,-0.275026593,-0.465769982,0.315109395,-0.199071387,-0.111664708,-0.089889463,-0.0383598,1.302130414,0.210777727,-0.135644924,0.030046656,Nearctic,Omnivore,Omnivore,
Melanotis caerulescens,Blue Mockingbird,61.57,4343,mæ̀cw-guiùu,mæ̀cw-guiùu,"Catbirds, Mockingbirds, and Thrashers",0,1,1,3,0.48626351700000003,-0.020749581,-0.10300937,-0.535064722,0.17364357100000002,-0.195908019,-0.037287125,0.078435115,-0.0010138389999999999,0.181907039,0.31673924800000003,-0.067307813,-0.034570965,Neotropic,Omnivore,Omnivore,
Aythya affinis,Lesser Scaup,819.45,258,bǎd,bǎd-guìx,Waterfowl,0,7,5,10,3.1867165060000002,-0.285386191,0.716334798,0.947785973,-0.45956444,0.10626884699999999,0.447436011,-0.11050244199999999,-0.01858745,1.805363812,-0.189936073,0.478772815,-0.04840018,Nearctic,Omnivore,Aquatic predator,Aquatic dive
Polioptila caerulea,Blue-gray Gnatcatcher,5.8,6898,dìx,dìx,Gnatcatchers,0,1,1,1,-2.8083910839999997,0.08890509699999999,-0.03827724,-0.25685858300000003,0.212644639,-0.010867858000000001,0.156564486,-0.032351101,-0.11738793,-1.458918926,0.18015240899999999,0.153040113,0.12148836199999999,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Petrochelidon pyrrhonota,Cliff Swallow,21.6,0,xlútsǐ,xlútsǐ-nquǐts,Martins and Swallows,0,7,4,4,-1.4911919759999999,0.511634093,-0.08490131,0.08963701,-0.54523082,0.332165819,0.273097717,-0.049789498,-0.050890770999999994,-1.192522209,-0.24425475,0.34144928799999996,0.048121895,Nearctic,Carnivore,Invertivore,Invertivore aerial
Eremophila alpestris,Horned Lark,33.33,80,mguîn̲-ló-liù,mguîn̲-ló-liù,Larks,0,1,1,1,-0.66078191,0.417218751,-0.113334709,-0.059435062000000004,-0.015145203000000001,0.065982709,-0.073248913,-0.134777159,-0.150248517,-0.669816124,-0.154365062,-0.051666820999999995,0.12467026699999999,Palearctic,Omnivore,Omnivore,
Bombycilla cedrorum,Cedar Waxwing,31.58,533,mguîn̲-bæ̀d,mguîn̲-bæ̀d,Waxwings,0,1,1,1,-0.8973101720000001,0.46535987,-0.16604512800000001,0.214395323,-0.26104890399999997,0.030789788,-0.024065332000000002,-0.037391847,0.10689554,-0.775888007,-0.385084985,-0.011877589,-0.11601535199999999,Nearctic,Herbivore,Frugivore,Fugivore glean
Cypseloides niger,Black Swift,39.67,236,xlútsǐ,xlútsǐ-ngǎs,Swifts,0,7,3,3,-1.329277686,1.310384005,0.105872985,0.027233407,-1.008129708,0.099360196,0.14686127300000001,-0.40514384700000006,0.030401681,-1.8472910059999998,-0.361823047,0.226720618,-0.164601224,Neotropic,Carnivore,Invertivore,Invertivore aerial
Sarcoramphus papa,King Vulture,3400.0,49,pěch,pěch-msìdòo,"Vultures, Hawks, and Allies",0,3,1,9,5.732191052999999,0.130085049,-0.144771345,0.083545672,-0.041406994,0.10163303900000001,0.054264507999999996,-0.041086515,-0.129243425,2.689094195,-0.292598019,0.06648846,0.038383022999999995,Neotropic,Scavenger,Scavenger,Scavenger ground
Setophaga townsendi,Townsend's Warbler,8.84,3787,yěets,yěets-pînt,Wood-Warblers,0,3,1,15,-2.251090547,0.164996408,-0.057571689,-0.131520941,0.210924904,0.059075091,-0.02431695,-0.105238991,-0.036608791,-1.212296515,0.034687802,-0.026125604,0.053491139,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Haemorhous mexicanus,House Finch,21.4,7991,mguěy,mguěy,"Finches, Euphonias, and Allies",1,4,2,3,-0.992391686,-0.016822716,-0.657889341,0.602201429,-0.00994912,-0.029375894,-0.062018321,-0.111062029,-0.152756717,-0.270881483,-0.827347006,-0.032033604,0.233252538,Nearctic,Herbivore,Granivore,Generalist
Junco phaeonotus,Yellow-eyed Junco,20.4,2155,mguîn̲-x-còl-nquǐts,mguîn̲-x-còl-nquǐts,New World Sparrows,0,1,1,10,-1.100757994,0.190246497,-0.366401845,0.162395966,0.166999441,-0.019584688,-0.082730915,-0.059695345999999996,-0.057316797,-0.586967624,-0.389985478,-0.08450269,0.0823854,Nearctic,Omnivore,Omnivore,
Pheucticus melanocephalus,Black-headed Grosbeak,47.13,2627,mguěy,mguěy-guièe-pchôg,"Cardinals, Grosbeaks, and Allies",0,4,2,2,0.23251600100000003,-0.330357336,-0.485309517,0.552596113,0.09220651099999999,0.014224533999999999,-0.050983379,-0.060997582,0.045280138,0.579498889,-0.612242162,-0.044482334000000005,0.047441208,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Leptotila verreauxi,White-tipped Dove,146.88,3268,guiès-ró-yù,guiès-ró-yù,Pigeons and Doves,0,1,1,7,0.7315835559999999,0.903857535,0.33895700100000004,-0.370780856,-0.40005678,-0.109022239,0.057708214,0.234764652,-0.016771334,-0.577616481,0.225762545,0.048162755,-0.143225243,Neotropic,Herbivore,Granivore,Granivore ground
Antrostomus arizonae,Mexican Whip-poor-will,53.3,0,pùrpùrwít,pùrpùrwít,Nightjars,0,1,1,1,-0.231660553,0.716370861,-0.141775201,-0.643026273,-0.624212822,0.054886031,0.291324597,-0.0044018,0.229053676,-0.87069187,0.148823586,0.314918111,-0.319828596,Nearctic,Carnivore,Invertivore,Generalist
Arremon brunneinucha,Chestnut-capped Brushfinch,43.97,1157,mguîn̲-wchǔup,mguîn̲-wchǔup,New World Sparrows,0,1,1,10,-0.015607201000000001,-0.040111363,-0.19325579899999998,0.072818128,0.290225112,-0.24045538,0.012678331000000001,-0.0016836689999999998,0.095599634,0.11703268,-0.164443883,-0.03365198,-0.110352916,Neotropic,Omnivore,Invertivore,Invertivore ground
Calothorax pulcher,Beautiful Hummingbird,2.7,609,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14,-4.136025448,-1.27288279,1.001840335,-0.597758813,-0.8533117579999999,-0.21179670899999997,-0.352489814,-0.041546577,0.004982443,-1.331577295,1.502211166,-0.279185568,0.151372323,Neotropic,Herbivore,Nectarivore,Nectarivore aerial
Coragyps atratus,Black Vulture,1881.69,8865,pěch,pěch-rúx,"Vultures, Hawks, and Allies",0,3,1,9,4.790697235,0.387212365,0.115496595,-0.246884546,-0.043927364,0.260490243,0.133610693,0.25618319100000003,0.016069271,1.921331696,0.07651525099999999,0.12489084800000001,-0.12634057199999998,Neotropic,Omnivore,Scavenger,Scavenger ground
Amazilia viridifrons,Green-fronted Hummingbird,6.3,513,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14,-2.81096474,-1.424587124,0.688067524,-0.259480033,-0.899466135,-0.042176277000000005,0.13327645400000002,-0.122203956,-0.059017200000000006,-0.464055751,1.081736497,0.232322978,0.217157002,Neotropic,Herbivore,Nectarivore,Nectarivore aerial
Circus cyaneus,Northern Harrier,392.98,0,msì,msì-lâg,"Vultures, Hawks, and Allies",0,7,3,9,3.015173457,0.662125195,-0.374741559,-0.21840790300000001,0.307866548,0.336218829,-0.03090136,-0.269397897,0.028121762999999998,0.986547588,-0.370445065,-0.030598392000000002,-0.10573054,Palearctic,Carnivore,Vertivore,Vertivore air to surface
Melanerpes formicivorus,Acorn Woodpecker,79.62,949,càrpìntêr,càrpìntêr-ngǎs,Woodpeckers,0,7,1,8,0.8300652690000001,-0.350593579,-0.11550114,-0.054371076,-0.191177514,0.204147167,0.151631759,0.109585208,-0.052861673,0.657252825,0.06869089099999999,0.18802436399999997,0.10777134699999999,Nearctic,Herbivore,Granivore,Granivore arboreal
Setophaga coronata,Yellow-rumped Warbler,11.94,0,wǐt,wǐt,Wood-Warblers,0,12,11,15,-1.870837532,0.288333776,-0.11085163,-0.171386276,0.158207393,0.109103972,0.000844327,-0.056208912,0.010769417,-1.134823293,-0.010056843,-0.001265468,-0.004062227,Nearctic,Carnivore,Invertivore,Generalist
Peucaea mystacalis,Bridled Sparrow,22.2,0,mtsùu,mtsùu,New World Sparrows,0,8,8,10,-0.944699989,0.098834176,-0.413137144,0.087395248,0.191501131,-0.172291726,-0.11492413,0.018027878,-0.0306892,-0.442670166,-0.334031963,-0.133578406,0.052298079,Neotropic,Omnivore,Omnivore,
Oreothlypis superciliosa,Crescent-chested Warbler,9.0,2207,nguzhǐn,nguzhǐn-gùts,Wood-Warblers,0,6,1,15,-2.116071568,-0.080630313,-0.119143836,-0.133527619,0.158245013,0.024766274,-0.00894847,-0.050870373,0.002726955,-0.943362252,0.072783299,-0.009636384,0.04486531,Neotropic,Carnivore,Invertivore,Invertivore glean arboreal
Meleagris gallopavo,Wild Turkey,5791.37,0,mèr,mèr,"Grouse, Quail, and Allies",0,1,1,4,5.863591847,1.204537159,0.08760112800000001,-0.25860452300000003,0.108840133,-0.296247435,0.366096955,-0.047426514,-0.136272845,1.7924057569999998,-0.22138753100000003,0.30855293100000003,-0.19984363800000002,Nearctic,Herbivore,Omnivore,
Ara militaris,Military Macaw,1134.0,85,měw,měw,"Parrots, Parakeets, and Allies",0,1,1,3,4.799757646000001,-0.8754145590000001,-1.086135206,0.17753447,-0.61065893,-0.28555353899999997,-0.24374454399999998,0.037059455,0.037319519,3.141888578,-0.638845766,-0.192148425,0.08535841300000001,Neotropic,Herbivore,Frugivore,Fugivore glean
Streptoprocne rutila,Chestnut-collared Swift,20.2,0,xlútsǐ,xlútsǐ-ngǎs,Swifts,0,7,3,3,-2.0310003880000003,1.301639697,-0.053225315,0.179432498,-0.803784756,0.34009703399999996,0.305205933,-0.44294690700000006,0.06975071099999999,-2.0927926880000003,-0.560754199,0.387939541,-0.16559584800000002,Neotropic,Carnivore,Invertivore,Invertivore aerial
Dryobates villosus,Hairy Woodpecker,62.65,1156,càrpìntêr,càrpìntêr-ló-guì,Woodpeckers,0,7,1,8,0.703445573,-0.614512179,-0.127170555,-0.022604197,0.016243936,0.158071141,0.15649355,0.054611535,-0.081609168,0.849636801,0.113413965,0.182611648,0.158339153,Nearctic,Carnivore,Invertivore,Invertivore bark
Salpinctes obsoletus,Rock Wren,16.37,1078,nguzhǐn,nguzhǐn-quiè,Wrens,0,6,1,6,-1.458784848,-0.130216391,0.353423069,-0.348007489,0.192061208,0.046156345,-0.09094124199999999,0.089107216,-0.025026077,-0.696379119,0.5436790429999999,-0.10422595300000001,0.039654207999999996,Nearctic,Carnivore,Invertivore,Invertivore ground
Setophaga occidentalis,Hermit Warbler,10.4,0,wǐt,wǐt,Wood-Warblers,0,12,11,15,-2.033412549,0.148281266,-0.133096883,-0.110508517,0.132298767,0.043038925,-0.069506722,-0.075128211,-0.04111856,-1.091967552,-0.023454753,-0.065434742,0.068172446,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Asio stygius,Stygian Owl,565.0,10,dǎm̲,dǎm̲-yêt,Owls,0,3,2,6,3.281661531,0.267358197,-0.20450816300000002,-0.13917163800000001,-0.21417122800000002,0.09247670699999999,-0.23180787600000002,-0.021192654,0.218174213,1.364461163,-0.18115793300000002,-0.22938286,-0.24761856699999998,Neotropic,Carnivore,Vertivore,Vertivore perch
Anser anser,Graylag Goose,3302.41,7,gâns,gâns,Waterfowl,0,2,2,10,5.187633141,0.354132578,0.373132203,0.48156276,-0.25135401,0.169932888,0.288096731,-0.110912292,0.019155221,2.238491044,-0.309442444,0.297416754,-0.164203324,Palearctic,Herbivore,Herbivore terrestrial,Herbivore ground
Dryocopus lineatus,Lineated Woodpecker,183.19,1103,càrpìntêr,càrpìntêr-mâch,Woodpeckers,0,7,2,8,2.037596904,-0.480285389,-0.09109696,-0.206012508,-0.144296393,0.124840245,0.241184215,0.170541647,-0.053737357,1.3190510709999999,0.215580012,0.26383097,0.08089390099999999,Neotropic,Carnivore,Invertivore,Invertivore bark
Molothrus aeneus,Bronzed Cowbird,62.61,3489,sànât-bûrr,sànât-bûrr,Blackbirds,0,1,1,3,0.441512232,-0.10583413900000001,-0.139283548,0.167492315,0.170696635,-0.045995315999999994,-0.20040893899999998,-0.048623150999999996,-0.060182727000000005,0.372681053,-0.188365698,-0.205055806,0.087518165,Neotropic,Omnivore,Granivore,Granivore ground
Zenaida asiatica,White-winged Dove,153.0,11054,còolíchè,còolíchè,Pigeons and Doves,0,1,1,7,1.021509859,0.581083904,0.240567235,-0.49062400799999994,-0.416733869,-0.07448145,0.015226989,0.111904091,-0.14784745900000001,-0.191930855,0.326297874,0.03428996,0.028163861000000002,Nearctic,Herbivore,Granivore,Granivore ground
Megascops trichopsis,Whiskered Screech-Owl,88.26,112,mquí,mquí,Owls,0,3,3,6,0.672825528,0.41005262600000003,-0.240183306,0.20635163899999998,-0.11832527699999999,0.219204736,-0.372070731,0.11283429099999999,0.152007707,0.055640388,-0.42562661700000004,-0.364099536,-0.11417488699999999,Neotropic,Carnivore,Invertivore,Invertivore sally surface
Buteo albonotatus,Zone-tailed Hawk,745.92,993,msì,msì,"Vultures, Hawks, and Allies",0,7,3,9,3.7951930139999996,0.554024808,-0.455492522,-0.17180485899999998,0.07427015,0.19477481100000002,-0.0029499609999999996,-0.143788429,-0.037104027000000005,1.426609884,-0.418206436,0.006667374,-0.044429177,Neotropic,Carnivore,Vertivore,Vertivore air to surface
Psaltriparus minimus,Bushtit,5.3,2790,mziùud,mziùud,Long-tailed Tits and Bushtit,0,1,1,1,-3.04249372,0.43759920700000005,-0.36043459200000005,0.065768571,0.236477701,-0.17955752100000003,-0.21785087399999997,-0.106454739,-0.065985869,-1.739532039,-0.3626007,-0.234128461,0.07842495599999999,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Tyrannus crassirostris,Thick-billed Kingbird,55.89,2132,cùchguêr,cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,4,3,12,0.687314456,-0.759840381,-0.49516667299999995,0.193810206,-0.11627888,0.077403004,0.30391443100000004,-0.01017471,0.060662953,1.053551582,-0.239621466,0.332762354,0.048529479,Neotropic,Carnivore,Invertivore,Invertivore sally air
Catharus aurantiirostris,Orange-billed Nightingale-Thrush,29.8,1237,mguîn̲-guìib-tsár,mguîn̲-guìib-tsár,Thrushes,0,4,4,5,-0.6924778070000001,0.197597594,0.069511645,0.067515173,0.390766059,-0.058433902999999995,-0.002100812,-0.066977396,-0.031462274,-0.43849515299999997,-0.056735223,-0.03647079,-0.005046201,Neotropic,Omnivore,Invertivore,Invertivore ground
Geothlypis tolmiei,MacGillivray's Warbler,10.4,0,wǐt,wǐt,Wood-Warblers,0,12,11,15,-2.071197907,0.157043429,0.032992409,-0.11089502,0.316237297,-0.078919572,-0.001727357,-0.107048829,-0.010786733,-1.109382574,0.076609489,-0.027089865,-0.002347406,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Vireo gilvus,Warbling Vireo,12.67,3267,mtsùu,mtsùu,Vireos,0,8,8,4,-1.811924551,0.11195002400000001,-0.09674149300000001,-0.017055007,0.068120981,0.052200567,-0.00018284,-0.010813784,0.048091496,-0.9444335229999999,-0.053479854,-0.001974956,-0.019884644,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Micrathene whitneyi,Elf Owl,41.0,28,mquí,mquí,Owls,0,3,3,6,-0.45124154,0.37169764899999996,-0.161483778,0.534928677,-0.10903061900000001,0.315421782,-0.181602005,0.014560782,-0.015252996000000001,-0.41454934200000004,-0.580189564,-0.14972018199999998,0.065165377,Nearctic,Carnivore,Invertivore,Invertivore sally air
Myadestes occidentalis,Brown-backed Solitaire,36.4,3842,mguîn̲-guìib-tsár,mguîn̲-guìib-tsár,Thrushes,0,4,4,5,-0.50729741,0.48888403399999997,-0.370584997,-0.20011580899999998,-0.126887706,-0.114461671,0.099759826,-0.007699615999999999,0.04866515,-0.64824333,-0.23189737600000002,0.09522463699999999,-0.097327935,Neotropic,Herbivore,Frugivore,Fugivore glean
Thryomanes bewickii,Bewick's Wren,9.9,5465,nguzhǐn,nguzhǐn,Wrens,1,6,1,6,-2.135727421,-0.083764475,0.21060367600000002,-0.31058788800000003,0.215586804,-0.088905695,-0.07114735900000001,0.062977054,-0.050166813,-1.033733671,0.42325521899999996,-0.0908527,0.060954815,Nearctic,Carnivore,Invertivore,Invertivore ground
Myioborus miniatus,Slate-throated Redstart,9.0,3440,mguîn̲-mâ-zhiàn,mguîn̲-mâ-zhiàn,Wood-Warblers,0,2,2,15,-2.057339313,0.099665009,-0.357172484,-0.172800751,0.210019149,-0.039208901000000004,0.23478613,-0.09558136699999999,0.066521229,-1.021460221,-0.11078097699999999,0.219692245,-0.057768747999999995,Neotropic,Carnivore,Invertivore,Invertivore glean arboreal
Geococcyx velox,Lesser Roadrunner,179.89,686,mriě,mriě,Cuckoos,0,1,1,1,2.160406381,-0.178278973,-0.428699115,-0.615972402,0.30148529,-0.527094947,0.066049478,0.026847482000000002,0.019417468,1.173563966,0.178091218,0.004982239,-0.09659919,Neotropic,Carnivore,Invertivore,Invertivore ground
Spizella passerina,Chipping Sparrow,12.2,1834,mtsùu,mtsùu,New World Sparrows,0,8,8,10,-1.790806935,0.070772537,-0.295603452,0.145902655,0.061174032999999996,0.012835276000000001,-0.038016904,-0.042723624,0.106355514,-0.834567452,-0.288215499,-0.041358386000000004,-0.054394924000000004,Nearctic,Omnivore,Omnivore,
Gallus gallus,Red Junglefowl,751.72,0,nguǐd,nguǐd,"Grouse, Quail, and Allies",0,1,1,4,3.114731342,1.066132742,-0.043515303,-0.26584324800000003,-0.017461556,-0.461829205,0.217028213,-0.025412733,-0.10112528800000001,0.575094175,-0.208281208,0.16491278,-0.165540026,Indo_Malay,Herbivore,Omnivore,
Atthis heloisa,Bumblebee Hummingbird,2.2,800,dzǐn̲g,dzǐn̲g-gué,Hummingbirds,0,14,1,14,-4.601600493,-0.893633082,0.992493368,-0.315530643,-0.7842638359999999,-0.164901489,-0.12705049,-0.218502595,-0.055937052,-1.798953817,1.1766360040000001,-0.051742395999999996,0.157131736,Neotropic,Herbivore,Nectarivore,Nectarivore aerial
Lampornis amethystinus,Amethyst-throated Mountain-gem,5.2,562,dzǐn̲g,dzǐn̲g-yǎ-guì,Hummingbirds,0,14,2,14,-2.992259198,-1.2755325690000001,0.510076669,-0.641852457,-1.031604445,0.019003486,0.116511641,-0.045477250999999996,0.020030405,-0.739208304,1.202359629,0.22272261399999999,0.142914019,Neotropic,Herbivore,Nectarivore,Nectarivore aerial
Anas platyrhynchos,Mallard,843.42,3,bǎd,bǎd,Waterfowl,0,7,2,10,3.6838200910000003,-0.534447356,0.388824402,0.5806659160000001,-0.322629683,0.188934094,0.30652288899999997,-0.119987685,-0.037768159,2.241337629,-0.078516405,0.34719117899999996,0.027553124,Palearctic,Herbivore,Herbivore aquatic,Herbivore aquatic surface
Columba livia,Rock Pigeon,354.2,2254,pàlôm,pàlôm,Pigeons and Doves,1,2,1,7,1.743599435,1.0164000420000001,0.46202739,-0.333979437,-0.68801717,0.074073388,-0.025646232999999997,0.142636003,-0.08522382699999999,-0.232458262,0.21715362,0.00697272,-0.079353537,Palearctic,Herbivore,Granivore,Granivore ground
Piranga rubra,Summer Tanager,29.13,2062,mguěy,mguěy,"Cardinals, Grosbeaks, and Allies",0,4,2,2,-0.30036874199999997,-0.489399715,-0.455668054,0.323740963,0.056908802,0.059667238,0.062100143,-0.10109209599999999,0.033202132,0.39910567799999996,-0.380027135,0.080519353,0.07274557799999999,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Vireo cassinii,Cassin's Vireo,14.7,916,mtsùu,mtsùu,Vireos,0,8,8,4,-1.576974701,0.123784116,-0.15820077400000002,0.092944475,0.126240154,0.062433450999999994,-0.03945462,-0.067147039,0.051370568,-0.7988902370000001,-0.184723606,-0.042256815999999996,-0.01876666,Nearctic,Carnivore,Invertivore,Invertivore glean arboreal
Myioborus pictus,Painted Redstart,9.79,1144,mguîn̲-mâ-zhiàn,mguîn̲-mâ-zhiàn,Wood-Warblers,0,2,2,15,-1.966679408,0.22072688399999998,-0.41535969,-0.153852779,0.145808902,0.114756469,0.084918194,-0.021192562999999998,0.048217967,-1.080191982,-0.19082527,0.085499295,-0.01299242,Nearctic,Carnivore,Invertivore,Generalist
Melanerpes hypopolius,Gray-breasted Woodpecker,52.4,0,càrpìntêr,càrpìntêr-psì,Woodpeckers,0,7,1,8,0.185538652,-0.179041334,-0.083374074,-0.327077998,-0.21751394,0.11493571699999999,0.11299413400000001,0.124053375,-0.117713081,0.13480599,0.24504467800000002,0.147836592,0.143978344,Neotropic,Omnivore,Frugivore,Fugivore glean
