scientific name,eBird species group
Lafresnaya lafresnayi rectirostris,Hummingbirds
Ensifera ensifera,Hummingbirds
Pterophanes cyanopterus,Hummingbirds
Pterophanes cyanopterus cyanopterus,Hummingbirds
Pterophanes cyanopterus caeruleus,Hummingbirds
Pterophanes cyanopterus peruvianus,Hummingbirds
Boissonneaua flavescens,Hummingbirds
Boissonneaua flavescens flavescens,Hummingbirds
Boissonneaua flavescens tinochlora,Hummingbirds
Boissonneaua matthewsii,Hummingbirds
Boissonneaua jardini,Hummingbirds
Ocreatus underwoodii,Hummingbirds
Ocreatus underwoodii [underwoodii Group],Hummingbirds
Ocreatus underwoodii polystictus,Hummingbirds
Ocreatus underwoodii discifer,Hummingbirds
Ocreatus underwoodii underwoodii,Hummingbirds
Ocreatus underwoodii incommodus,Hummingbirds
Ocreatus underwoodii melanantherus,Hummingbirds
Ocreatus underwoodii peruanus,Hummingbirds
Ocreatus underwoodii annae,Hummingbirds
Ocreatus underwoodii addae,Hummingbirds
Urochroa bougueri,Hummingbirds
Urochroa leucura,Hummingbirds
Urosticte benjamini,Hummingbirds
Urosticte ruficrissa,Hummingbirds
Heliodoxa xanthogonys,Hummingbirds
Heliodoxa xanthogonys xanthogonys,Hummingbirds
Heliodoxa xanthogonys willardi,Hummingbirds
Heliodoxa gularis,Hummingbirds
Heliodoxa branickii,Hummingbirds
Heliodoxa schreibersii,Hummingbirds
Heliodoxa schreibersii schreibersii,Hummingbirds
Heliodoxa schreibersii whitelyana,Hummingbirds
Heliodoxa aurescens,Hummingbirds
Heliodoxa rubinoides,Hummingbirds
Heliodoxa rubinoides rubinoides,Hummingbirds
Heliodoxa rubinoides aequatorialis,Hummingbirds
Heliodoxa rubinoides cervinigularis,Hummingbirds
Heliodoxa jacula,Hummingbirds
Heliodoxa jacula henryi,Hummingbirds
Heliodoxa jacula jacula,Hummingbirds
Heliodoxa jacula jamersoni,Hummingbirds
Heliodoxa imperatrix,Hummingbirds
Heliodoxa leadbeateri,Hummingbirds
Heliodoxa leadbeateri leadbeateri,Hummingbirds
Heliodoxa leadbeateri parvula,Hummingbirds
Heliodoxa leadbeateri sagitta,Hummingbirds
Heliodoxa leadbeateri otero,Hummingbirds
Clytolaema rubricauda,Hummingbirds
Patagona gigas,Hummingbirds
Patagona gigas peruviana,Hummingbirds
Patagona gigas gigas,Hummingbirds
Sternoclyta cyanopectus,Hummingbirds
Hylonympha macrocerca,Hummingbirds
Eugenes fulgens,Hummingbirds
Eugenes spectabilis,Hummingbirds
Heliomaster longirostris,Hummingbirds
Heliomaster longirostris pallidiceps,Hummingbirds
Heliomaster longirostris longirostris,Hummingbirds
Heliomaster longirostris albicrissa,Hummingbirds
Heliomaster constantii,Hummingbirds
Heliomaster constantii pinicola,Hummingbirds
Heliomaster constantii leocadiae,Hummingbirds
Heliomaster constantii constantii,Hummingbirds
Heliomaster longirostris/constantii,Hummingbirds
Heliomaster squamosus,Hummingbirds
Heliomaster furcifer,Hummingbirds
Panterpe insignis,Hummingbirds
Panterpe insignis eisenmanni,Hummingbirds
Panterpe insignis insignis,Hummingbirds
Lampornis viridipallens,Hummingbirds
Lampornis viridipallens amadoni,Hummingbirds
Lampornis viridipallens ovandensis,Hummingbirds
Lampornis viridipallens viridipallens,Hummingbirds
Lampornis viridipallens nubivagus,Hummingbirds
Lampornis sybillae,Hummingbirds
Lampornis amethystinus,Hummingbirds
Lampornis amethystinus [amethystinus Group],Hummingbirds
Lampornis amethystinus amethystinus,Hummingbirds
Lampornis amethystinus salvini,Hummingbirds
Lampornis amethystinus nobilis,Hummingbirds
Lampornis amethystinus margaritae,Hummingbirds
Lampornis clemenciae,Hummingbirds
Lampornis clemenciae bessophilus,Hummingbirds
Lampornis clemenciae clemenciae,Hummingbirds
Lampornis hemileucus,Hummingbirds
Lampornis calolaemus,Hummingbirds
Lampornis calolaemus pectoralis,Hummingbirds
Lampornis calolaemus calolaemus,Hummingbirds
Lampornis calolaemus homogenes,Hummingbirds
Lampornis castaneoventris,Hummingbirds
Lampornis castaneoventris castaneoventris,Hummingbirds
Lampornis castaneoventris cinereicauda,Hummingbirds
Lampornis calolaemus/castaneoventris,Hummingbirds
Lamprolaima rhami,Hummingbirds
Myrtis fanny,Hummingbirds
Myrtis fanny fanny,Hummingbirds
Myrtis fanny megalura,Hummingbirds
Eulidia yarrellii,Hummingbirds
Rhodopis vesper,Hummingbirds
Rhodopis vesper koepckeae,Hummingbirds
Rhodopis vesper vesper,Hummingbirds
Rhodopis vesper atacamensis,Hummingbirds
Thaumastura cora,Hummingbirds
Eulidia yarrellii x Thaumastura cora,Hummingbirds
Chaetocercus mulsant,Hummingbirds
Chaetocercus bombus,Hummingbirds
Chaetocercus heliodor,Hummingbirds
Chaetocercus heliodor heliodor,Hummingbirds
Chaetocercus heliodor cleavesi,Hummingbirds
Chaetocercus astreans,Hummingbirds
Chaetocercus berlepschi,Hummingbirds
Chaetocercus jourdanii,Hummingbirds
Chaetocercus jourdanii jourdanii,Hummingbirds
Chaetocercus jourdanii rosae,Hummingbirds
Chaetocercus jourdanii andinus,Hummingbirds
Chaetocercus sp.,Hummingbirds
Myrmia micrura,Hummingbirds
Microstilbon burmeisteri,Hummingbirds
Doricha enicura,Hummingbirds
Doricha eliza,Hummingbirds
Tilmatura dupontii,Hummingbirds
Calothorax lucifer,Hummingbirds
Calothorax pulcher,Hummingbirds
Calothorax lucifer/pulcher,Hummingbirds
Calliphlox evelynae,Hummingbirds
Calliphlox lyrura,Hummingbirds
Calliphlox bryantae,Hummingbirds
Calliphlox mitchellii,Hummingbirds
Calliphlox amethystina,Hummingbirds
Trochilidae sp. (woodstar sp.),Hummingbirds
Archilochus colubris,Hummingbirds
Archilochus alexandri,Hummingbirds
Archilochus colubris x alexandri,Hummingbirds
Archilochus colubris/alexandri,Hummingbirds
Mellisuga minima,Hummingbirds
Mellisuga minima minima,Hummingbirds
Mellisuga minima vielloti,Hummingbirds
Mellisuga helenae,Hummingbirds
Calypte anna,Hummingbirds
Calothorax lucifer x Calypte anna,Hummingbirds
Archilochus alexandri x Calypte anna,Hummingbirds
Calypte costae,Hummingbirds
Calothorax lucifer x Calypte costae,Hummingbirds
Calypte anna x costae,Hummingbirds
Calypte anna/costae,Hummingbirds
Atthis heloisa,Hummingbirds
Atthis heloisa margarethae,Hummingbirds
Atthis heloisa heloisa,Hummingbirds
Atthis ellioti,Hummingbirds
Atthis ellioti ellioti,Hummingbirds
Atthis ellioti selasphoroides,Hummingbirds
Selasphorus platycercus,Hummingbirds
Selasphorus rufus,Hummingbirds
Archilochus alexandri x Selasphorus rufus,Hummingbirds
Calypte anna x Selasphorus rufus,Hummingbirds
Selasphorus sasin,Hummingbirds
Selasphorus sasin sasin,Hummingbirds
Selasphorus sasin sedentarius,Hummingbirds
Calypte anna x Selasphorus sasin,Hummingbirds
Selasphorus rufus/sasin,Hummingbirds
Selasphorus flammula,Hummingbirds
Selasphorus flammula flammula,Hummingbirds
Selasphorus flammula torridus,Hummingbirds
Selasphorus flammula simoni,Hummingbirds
Selasphorus ardens,Hummingbirds
Selasphorus scintilla,Hummingbirds
Selasphorus calliope,Hummingbirds
Archilochus alexandri x Selasphorus calliope,Hummingbirds
Calypte anna x Selasphorus calliope,Hummingbirds
Selasphorus platycercus x calliope,Hummingbirds
Selasphorus rufus x calliope,Hummingbirds
Selasphorus sp.,Hummingbirds
Calypte anna x Selasphorus sp.,Hummingbirds
Chlorostilbon melanorhynchus,Hummingbirds
Chlorostilbon melanorhynchus melanorhynchus,Hummingbirds
Chlorostilbon melanorhynchus pumilus,Hummingbirds
Chlorostilbon gibsoni,Hummingbirds
Chlorostilbon gibsoni gibsoni,Hummingbirds
Chlorostilbon gibsoni chrysogaster,Hummingbirds
Chlorostilbon gibsoni nitens,Hummingbirds
Chlorostilbon mellisugus,Hummingbirds
Chlorostilbon mellisugus caribaeus,Hummingbirds
Chlorostilbon mellisugus duidae,Hummingbirds
Chlorostilbon mellisugus subfurcatus,Hummingbirds
Chlorostilbon mellisugus mellisugus,Hummingbirds
Chlorostilbon mellisugus phoeopygus,Hummingbirds
Chlorostilbon mellisugus peruanus,Hummingbirds
Chlorostilbon auriceps,Hummingbirds
Chlorostilbon forficatus,Hummingbirds
Chlorostilbon canivetii,Hummingbirds
Chlorostilbon canivetii canivetii,Hummingbirds
Chlorostilbon canivetii salvini/osberti,Hummingbirds
Chlorostilbon canivetii osberti,Hummingbirds
Chlorostilbon canivetii salvini,Hummingbirds
Chlorostilbon assimilis,Hummingbirds
Chlorostilbon olivaresi,Hummingbirds
Chlorostilbon ricordii,Hummingbirds
Chlorostilbon bracei,Hummingbirds
Chlorostilbon bracei bracei,Hummingbirds
Chlorostilbon bracei elegans,Hummingbirds
Chlorostilbon swainsonii,Hummingbirds
Chlorostilbon maugaeus,Hummingbirds
Chlorostilbon lucidus,Hummingbirds
Chlorostilbon lucidus pucherani,Hummingbirds
Chlorostilbon lucidus lucidus,Hummingbirds
Chlorostilbon lucidus igneus,Hummingbirds
Chlorostilbon lucidus berlepschi,Hummingbirds
Chlorostilbon russatus,Hummingbirds
Chlorostilbon stenurus,Hummingbirds
Chlorostilbon stenurus stenurus,Hummingbirds
Chlorostilbon stenurus ignotus,Hummingbirds
Chlorostilbon alice,Hummingbirds
Chlorostilbon poortmani,Hummingbirds
Chlorostilbon poortmani euchloris,Hummingbirds
Chlorostilbon poortmani poortmani,Hummingbirds
Chlorostilbon sp.,Hummingbirds
Chlorestes notata,Hummingbirds
Chlorestes notata notata,Hummingbirds
Chlorestes notata puruensis,Hummingbirds
Chlorestes notata obsoleta,Hummingbirds
Cynanthus sordidus,Hummingbirds
Cynanthus latirostris,Hummingbirds
Cynanthus latirostris [latirostris Group],Hummingbirds
Cynanthus latirostris magicus,Hummingbirds
Cynanthus latirostris latirostris,Hummingbirds
Cynanthus latirostris propinquus,Hummingbirds
Cynanthus latirostris doubledayi,Hummingbirds
Cynanthus latirostris lawrencei,Hummingbirds
Archilochus alexandri x Cynanthus latirostris,Hummingbirds
Cyanophaia bicolor,Hummingbirds
Orthorhyncus cristatus,Hummingbirds
Orthorhyncus cristatus exilis,Hummingbirds
Orthorhyncus cristatus ornatus,Hummingbirds
Orthorhyncus cristatus cristatus,Hummingbirds
Orthorhyncus cristatus emigrans,Hummingbirds
Klais guimeti,Hummingbirds
Klais guimeti merrittii,Hummingbirds
Klais guimeti guimeti,Hummingbirds
Klais guimeti pallidiventris,Hummingbirds
Abeillia abeillei,Hummingbirds
Abeillia abeillei abeillei,Hummingbirds
Abeillia abeillei aurea,Hummingbirds
Anthocephala floriceps,Hummingbirds
Anthocephala berlepschi,Hummingbirds
Stephanoxis lalandi,Hummingbirds
Stephanoxis loddigesii,Hummingbirds
Phaeochroa cuvierii,Hummingbirds
Phaeochroa cuvierii roberti,Hummingbirds
Phaeochroa cuvierii [cuvierii Group],Hummingbirds
Phaeochroa cuvierii maculicauda,Hummingbirds
Phaeochroa cuvierii saturatior,Hummingbirds
Phaeochroa cuvierii cuvierii,Hummingbirds
Phaeochroa cuvierii berlepschi,Hummingbirds
Campylopterus curvipennis,Hummingbirds
Campylopterus curvipennis curvipennis,Hummingbirds
Campylopterus curvipennis pampa,Hummingbirds
Campylopterus excellens,Hummingbirds
Campylopterus largipennis,Hummingbirds
Campylopterus largipennis largipennis,Hummingbirds
Campylopterus largipennis obscurus,Hummingbirds
Campylopterus largipennis diamantinensis,Hummingbirds
Campylopterus calcirupicola,Hummingbirds
Campylopterus rufus,Hummingbirds
Campylopterus hemileucurus,Hummingbirds
Campylopterus hemileucurus hemileucurus,Hummingbirds
Campylopterus hemileucurus mellitus,Hummingbirds
Campylopterus hyperythrus,Hummingbirds
Campylopterus ensipennis,Hummingbirds
Campylopterus falcatus,Hummingbirds
Campylopterus phainopeplus,Hummingbirds
Campylopterus villaviscensio,Hummingbirds
Campylopterus duidae,Hummingbirds
Campylopterus duidae guaiquinimae,Hummingbirds
Campylopterus duidae duidae,Hummingbirds
Eupetomena macroura,Hummingbirds
Eupetomena macroura macroura,Hummingbirds
Eupetomena macroura simoni,Hummingbirds
Eupetomena macroura cyanoviridis,Hummingbirds
Eupetomena macroura hirundo,Hummingbirds
Eupetomena macroura boliviana,Hummingbirds
Chalybura buffonii,Hummingbirds
Chalybura buffonii [buffonii Group],Hummingbirds
Chalybura buffonii micans,Hummingbirds
Chalybura buffonii buffonii,Hummingbirds
Chalybura buffonii aeneicauda,Hummingbirds
Chalybura buffonii caeruleogaster,Hummingbirds
Chalybura buffonii intermedia,Hummingbirds
Chalybura urochrysia,Hummingbirds
Chalybura urochrysia melanorrhoa,Hummingbirds
Chalybura urochrysia isaurae,Hummingbirds
Chalybura urochrysia urochrysia,Hummingbirds
Thalurania ridgwayi,Hummingbirds
Thalurania colombica,Hummingbirds
Thalurania colombica (Violet-crowned Woodnymph),Hummingbirds
Thalurania colombica venusta/townsendi,Hummingbirds
Thalurania colombica townsendi,Hummingbirds
Thalurania colombica venusta,Hummingbirds
Thalurania colombica colombica/rostrifera,Hummingbirds
Thalurania colombica colombica,Hummingbirds
Thalurania colombica rostrifera,Hummingbirds
Thalurania colombica (Green-crowned Woodnymph),Hummingbirds
Thalurania colombica [fannyae Group],Hummingbirds
Thalurania colombica fannyae,Hummingbirds
Thalurania colombica subtropicalis,Hummingbirds
Thalurania colombica verticeps,Hummingbirds
Thalurania colombica hypochlora,Hummingbirds
Thalurania furcata,Hummingbirds
Thalurania furcata refulgens,Hummingbirds
Thalurania furcata furcata,Hummingbirds
Thalurania furcata fissilis,Hummingbirds
Thalurania furcata nigrofasciata,Hummingbirds
Thalurania furcata viridipectus,Hummingbirds
Thalurania furcata jelskii,Hummingbirds
Thalurania furcata simoni,Hummingbirds
Thalurania furcata balzani,Hummingbirds
Thalurania furcata furcatoides,Hummingbirds
Thalurania furcata boliviana,Hummingbirds
Thalurania furcata baeri,Hummingbirds
Thalurania furcata eriphile,Hummingbirds
Thalurania watertonii,Hummingbirds
Thalurania glaucopis,Hummingbirds
Eupherusa eximia,Hummingbirds
Eupherusa eximia nelsoni,Hummingbirds
Eupherusa eximia eximia,Hummingbirds
Eupherusa eximia egregia,Hummingbirds
Eupherusa cyanophrys,Hummingbirds
Eupherusa poliocerca,Hummingbirds
Eupherusa nigriventris,Hummingbirds
Elvira chionura,Hummingbirds
Elvira cupreiceps,Hummingbirds
Microchera albocoronata,Hummingbirds
Microchera albocoronata parvirostris,Hummingbirds
Microchera albocoronata albocoronata,Hummingbirds
Aphantochroa cirrochloris,Hummingbirds
Taphrospilus hypostictus,Hummingbirds
Leucochloris albicollis,Hummingbirds
Leucippus fallax,Hummingbirds
Leucippus baeri,Hummingbirds
Leucippus taczanowskii,Hummingbirds
Leucippus chlorocercus,Hummingbirds
Amazilia chionogaster,Hummingbirds
Amazilia chionogaster chionogaster,Hummingbirds
Amazilia chionogaster hypoleuca,Hummingbirds
Amazilia viridicauda,Hummingbirds
Amazilia castaneiventris,Hummingbirds
Amazilia amazilia,Hummingbirds
Amazilia amazilia [amazilia Group],Hummingbirds
Amazilia amazilia azuay,Hummingbirds
Amazilia amazilia dumerilii,Hummingbirds
Amazilia amazilia leucophoea,Hummingbirds
Amazilia amazilia amazilia,Hummingbirds
Amazilia amazilia caeruleigularis,Hummingbirds
Amazilia amazilia alticola,Hummingbirds
Amazilia candida,Hummingbirds
Amazilia candida genini,Hummingbirds
Amazilia candida pacifica,Hummingbirds
Amazilia candida candida,Hummingbirds
Amazilia luciae,Hummingbirds
Amazilia brevirostris,Hummingbirds
Amazilia brevirostris chionopectus,Hummingbirds
Amazilia brevirostris brevirostris,Hummingbirds
Amazilia brevirostris orienticola,Hummingbirds
Amazilia leucogaster,Hummingbirds
Amazilia leucogaster leucogaster,Hummingbirds
Amazilia leucogaster bahiae,Hummingbirds
Amazilia versicolor,Hummingbirds
Amazilia versicolor [versicolor Group],Hummingbirds
Amazilia versicolor millerii,Hummingbirds
Amazilia versicolor hollandi,Hummingbirds
Amazilia versicolor nitidifrons,Hummingbirds
Amazilia versicolor versicolor,Hummingbirds
Amazilia versicolor kubtchecki,Hummingbirds
Amazilia versicolor rondoniae,Hummingbirds
Amazilia franciae,Hummingbirds
Amazilia franciae franciae,Hummingbirds
Amazilia franciae viridiceps,Hummingbirds
Amazilia franciae cyanocollis,Hummingbirds
Amazilia fimbriata,Hummingbirds
Amazilia fimbriata elegantissima,Hummingbirds
Amazilia fimbriata distans,Hummingbirds
Amazilia fimbriata fimbriata,Hummingbirds
Amazilia fimbriata apicalis,Hummingbirds
Amazilia fimbriata fluviatilis,Hummingbirds
Amazilia fimbriata laeta,Hummingbirds
Amazilia fimbriata nigricauda,Hummingbirds
Amazilia fimbriata tephrocephala,Hummingbirds
Amazilia lactea,Hummingbirds
Amazilia lactea lactea/zimmeri,Hummingbirds
Amazilia lactea zimmeri,Hummingbirds
Amazilia lactea lactea,Hummingbirds
Amazilia lactea bartletti,Hummingbirds
Amazilia amabilis,Hummingbirds
Amazilia decora,Hummingbirds
Amazilia rosenbergi,Hummingbirds
Amazilia boucardi,Hummingbirds
Amazilia cyanocephala,Hummingbirds
Amazilia cyanocephala cyanocephala,Hummingbirds
Amazilia cyanocephala chlorostephana,Hummingbirds
Amazilia luciae x cyanocephala,Hummingbirds
Amazilia beryllina,Hummingbirds
Amazilia beryllina beryllina/viola,Hummingbirds
Amazilia beryllina viola,Hummingbirds
Amazilia beryllina beryllina,Hummingbirds
Amazilia beryllina [devillei Group],Hummingbirds
Amazilia beryllina lichtensteini,Hummingbirds
Amazilia beryllina sumichrasti,Hummingbirds
Amazilia beryllina devillei,Hummingbirds
Eugenes fulgens x Amazilia beryllina,Hummingbirds
Amazilia cyanura,Hummingbirds
Amazilia cyanura guatemalae,Hummingbirds
Amazilia cyanura cyanura,Hummingbirds
Amazilia cyanura impatiens,Hummingbirds
Amazilia saucerottei,Hummingbirds
Amazilia saucerottei hoffmanni,Hummingbirds
Amazilia saucerottei warscewiczi,Hummingbirds
Amazilia saucerottei saucerottei,Hummingbirds
Amazilia saucerottei braccata,Hummingbirds
Amazilia cyanifrons,Hummingbirds
Amazilia edward,Hummingbirds
Amazilia edward niveoventer,Hummingbirds
Amazilia edward edward,Hummingbirds
Amazilia edward collata,Hummingbirds
Amazilia edward margaritarum,Hummingbirds
Amazilia viridigaster,Hummingbirds
Amazilia viridigaster [viridigaster Group],Hummingbirds
Amazilia viridigaster viridigaster,Hummingbirds
Amazilia viridigaster pacaraimae,Hummingbirds
Amazilia viridigaster iodura,Hummingbirds
Amazilia viridigaster [cupreicauda Group],Hummingbirds
Amazilia viridigaster cupreicauda,Hummingbirds
Amazilia viridigaster duidae,Hummingbirds
Amazilia viridigaster laireti,Hummingbirds
Amazilia tzacatl,Hummingbirds
Amazilia tzacatl [tzacatl Group],Hummingbirds
Amazilia tzacatl tzacatl,Hummingbirds
Amazilia tzacatl fuscicaudata,Hummingbirds
Amazilia tzacatl brehmi,Hummingbirds
Amazilia tzacatl jucunda,Hummingbirds
Amazilia tzacatl handleyi,Hummingbirds
Amazilia yucatanensis,Hummingbirds
Amazilia yucatanensis yucatanensis,Hummingbirds
Amazilia yucatanensis cerviniventris/chalconota,Hummingbirds
Amazilia yucatanensis chalconota,Hummingbirds
Amazilia yucatanensis cerviniventris,Hummingbirds
Amazilia rutila,Hummingbirds
Amazilia rutila graysoni,Hummingbirds
Amazilia rutila [rutila Group],Hummingbirds
Amazilia rutila rutila,Hummingbirds
Amazilia rutila corallirostris,Hummingbirds
Amazilia rutila diluta,Hummingbirds
Amazilia violiceps,Hummingbirds
Amazilia violiceps ellioti,Hummingbirds
Amazilia violiceps violiceps,Hummingbirds
Cynanthus latirostris x Amazilia violiceps,Hummingbirds
Amazilia viridifrons,Hummingbirds
Amazilia viridifrons viridifrons,Hummingbirds
Amazilia viridifrons wagneri,Hummingbirds
Amazilia tobaci,Hummingbirds
Amazilia tobaci tobaci,Hummingbirds
Amazilia tobaci erythronotos,Hummingbirds
Amazilia tobaci aliciae,Hummingbirds
Amazilia tobaci monticola,Hummingbirds
Amazilia tobaci feliciae,Hummingbirds
Amazilia tobaci caudata,Hummingbirds
Amazilia tobaci caurensis,Hummingbirds
Amazilia sp.,Hummingbirds
Chrysuronia oenone,Hummingbirds
Chrysuronia oenone oenone,Hummingbirds
Chrysuronia oenone josephinae,Hummingbirds
Chrysuronia oenone alleni,Hummingbirds
Goethalsia bella,Hummingbirds
Goldmania violiceps,Hummingbirds
Trochilus polytmus,Hummingbirds
Trochilus polytmus polytmus,Hummingbirds
Trochilus polytmus scitulus,Hummingbirds
Trochilus polytmus polytmus x scitulus,Hummingbirds
Lepidopyga coeruleogularis,Hummingbirds
Lepidopyga coeruleogularis coeruleogularis,Hummingbirds
Lepidopyga coeruleogularis confinis,Hummingbirds
Lepidopyga coeruleogularis coelina,Hummingbirds
Lepidopyga lilliae,Hummingbirds
Lepidopyga goudoti,Hummingbirds
Lepidopyga goudoti luminosa,Hummingbirds
Lepidopyga goudoti goudoti,Hummingbirds
Lepidopyga goudoti zuliae,Hummingbirds
Lepidopyga goudoti phaeochroa,Hummingbirds
Juliamyia julie,Hummingbirds
Juliamyia julie panamensis,Hummingbirds
Juliamyia julie julie,Hummingbirds
Juliamyia julie feliciana,Hummingbirds
Hylocharis humboldtii,Hummingbirds
Hylocharis eliciae,Hummingbirds
Hylocharis eliciae eliciae,Hummingbirds
Hylocharis eliciae earina,Hummingbirds
Hylocharis sapphirina,Hummingbirds
Hylocharis cyanus,Hummingbirds
Hylocharis cyanus viridiventris,Hummingbirds
Hylocharis cyanus rostrata,Hummingbirds
Hylocharis cyanus conversa,Hummingbirds
Hylocharis cyanus cyanus,Hummingbirds
Hylocharis cyanus griseiventris,Hummingbirds
Hylocharis chrysura,Hummingbirds
Hylocharis grayi,Hummingbirds
Hylocharis leucotis,Hummingbirds
Hylocharis leucotis borealis,Hummingbirds
Hylocharis leucotis leucotis,Hummingbirds
Hylocharis leucotis pygmaea,Hummingbirds
Hylocharis xantusii,Hummingbirds
Trochilidae sp.,Hummingbirds
Opisthocomus hoazin,Hoatzin
Canirallus oculeus,Flufftails
Canirallus kioloides,Flufftails
Canirallus kioloides kioloides,Flufftails
Canirallus kioloides berliozi,Flufftails
Canirallus beankaensis,Flufftails
Sarothrura pulchra,Flufftails
Sarothrura pulchra [pulchra Group],Flufftails
Sarothrura pulchra pulchra,Flufftails
Sarothrura pulchra zenkeri,Flufftails
Sarothrura pulchra batesi,Flufftails
Sarothrura pulchra centralis,Flufftails
Sarothrura elegans,Flufftails
Sarothrura elegans reichenovi,Flufftails
Sarothrura elegans elegans,Flufftails
Sarothrura rufa,Flufftails
Sarothrura rufa bonapartii,Flufftails
Sarothrura rufa elizabethae,Flufftails
Sarothrura rufa rufa,Flufftails
Sarothrura lugens,Flufftails
Sarothrura lugens lugens,Flufftails
Sarothrura lugens lynesi,Flufftails
Sarothrura boehmi,Flufftails
Sarothrura affinis,Flufftails
Sarothrura affinis antonii,Flufftails
Sarothrura affinis affinis,Flufftails
Sarothrura insularis,Flufftails
Sarothrura ayresi,Flufftails
Sarothrura watersi,Flufftails
Sarothrura sp.,Flufftails
Rallus obsoletus,"Rails, Gallinules, and Allies"
Rallus obsoletus obsoletus,"Rails, Gallinules, and Allies"
Rallus obsoletus levipes,"Rails, Gallinules, and Allies"
Rallus obsoletus beldingi,"Rails, Gallinules, and Allies"
Rallus obsoletus yumanensis,"Rails, Gallinules, and Allies"
Rallus tenuirostris,"Rails, Gallinules, and Allies"
Rallus longirostris,"Rails, Gallinules, and Allies"
Rallus longirostris berryorum,"Rails, Gallinules, and Allies"
Rallus longirostris cypereti,"Rails, Gallinules, and Allies"
Rallus longirostris [longirostris Group],"Rails, Gallinules, and Allies"
Rallus longirostris phelpsi,"Rails, Gallinules, and Allies"
Rallus longirostris margaritae,"Rails, Gallinules, and Allies"
Rallus longirostris pelodramus,"Rails, Gallinules, and Allies"
Rallus longirostris longirostris,"Rails, Gallinules, and Allies"
Rallus longirostris crassirostris,"Rails, Gallinules, and Allies"
Rallus elegans,"Rails, Gallinules, and Allies"
Rallus elegans elegans,"Rails, Gallinules, and Allies"
Rallus elegans ramsdeni,"Rails, Gallinules, and Allies"
Rallus tenuirostris/elegans,"Rails, Gallinules, and Allies"
Rallus crepitans,"Rails, Gallinules, and Allies"
Rallus crepitans crepitans/waynei,"Rails, Gallinules, and Allies"
Rallus crepitans crepitans,"Rails, Gallinules, and Allies"
Rallus crepitans waynei,"Rails, Gallinules, and Allies"
Rallus crepitans saturatus/scottii,"Rails, Gallinules, and Allies"
Rallus crepitans saturatus,"Rails, Gallinules, and Allies"
Rallus crepitans scottii,"Rails, Gallinules, and Allies"
Rallus crepitans [caribaeus Group],"Rails, Gallinules, and Allies"
Rallus crepitans insularum,"Rails, Gallinules, and Allies"
Rallus crepitans coryi,"Rails, Gallinules, and Allies"
Rallus crepitans leucophaeus,"Rails, Gallinules, and Allies"
Rallus crepitans caribaeus,"Rails, Gallinules, and Allies"
Rallus crepitans [pallidus Group],"Rails, Gallinules, and Allies"
Rallus crepitans pallidus,"Rails, Gallinules, and Allies"
Rallus crepitans grossi,"Rails, Gallinules, and Allies"
Rallus crepitans belizensis,"Rails, Gallinules, and Allies"
Rallus obsoletus/longirostris/crepitans,"Rails, Gallinules, and Allies"
Rallus elegans/crepitans,"Rails, Gallinules, and Allies"
Rallus sp. (large Rallus sp.),"Rails, Gallinules, and Allies"
Rallus wetmorei,"Rails, Gallinules, and Allies"
Rallus limicola,"Rails, Gallinules, and Allies"
Rallus limicola limicola/friedmanni,"Rails, Gallinules, and Allies"
Rallus limicola limicola,"Rails, Gallinules, and Allies"
Rallus limicola friedmanni,"Rails, Gallinules, and Allies"
Rallus limicola aequatorialis,"Rails, Gallinules, and Allies"
Rallus elegans/limicola,"Rails, Gallinules, and Allies"
Rallus semiplumbeus,"Rails, Gallinules, and Allies"
Rallus semiplumbeus semiplumbeus,"Rails, Gallinules, and Allies"
Rallus semiplumbeus peruvianus,"Rails, Gallinules, and Allies"
Rallus antarcticus,"Rails, Gallinules, and Allies"
Rallus aquaticus,"Rails, Gallinules, and Allies"
Rallus aquaticus hibernans,"Rails, Gallinules, and Allies"
Rallus aquaticus aquaticus,"Rails, Gallinules, and Allies"
Rallus aquaticus korejewi,"Rails, Gallinules, and Allies"
Rallus indicus,"Rails, Gallinules, and Allies"
Rallus aquaticus/indicus,"Rails, Gallinules, and Allies"
Rallus caerulescens,"Rails, Gallinules, and Allies"
Rallus madagascariensis,"Rails, Gallinules, and Allies"
Rallus sp.,"Rails, Gallinules, and Allies"
Dryolimnas cuvieri,"Rails, Gallinules, and Allies"
Dryolimnas cuvieri cuvieri,"Rails, Gallinules, and Allies"
Dryolimnas cuvieri abbotti,"Rails, Gallinules, and Allies"
Dryolimnas cuvieri aldabranus,"Rails, Gallinules, and Allies"
Crex crex,"Rails, Gallinules, and Allies"
Crex egregia,"Rails, Gallinules, and Allies"
Rougetius rougetii,"Rails, Gallinules, and Allies"
Atlantisia rogersi,"Rails, Gallinules, and Allies"
Aramidopsis plateni,"Rails, Gallinules, and Allies"
Lewinia striata,"Rails, Gallinules, and Allies"
Lewinia striata albiventer,"Rails, Gallinules, and Allies"
Lewinia striata obscurior,"Rails, Gallinules, and Allies"
Lewinia striata jouyi,"Rails, Gallinules, and Allies"
Lewinia striata taiwana,"Rails, Gallinules, and Allies"
Lewinia striata gularis,"Rails, Gallinules, and Allies"
Lewinia striata striata,"Rails, Gallinules, and Allies"
Lewinia striata paraterma,"Rails, Gallinules, and Allies"
Lewinia mirifica,"Rails, Gallinules, and Allies"
